name_of_city,state_code,state_name,literates_total,literates_male,literates_female,sex_ratio,child_sex_ratio,effective_literacy_rate_total,effective_literacy_rate_male,effective_literacy_rate_female,location,total_graduates,male_graduates,female_graduates
Abohar ,3,PUNJAB,103319,58347,44972,890,848,79.86,85.49,73.59,"30.1452928,74.1993043",16287,8612,7675
Achalpur ,27,MAHARASHTRA,92433,49347,43086,928,909,91.99,94.77,89,"21.257584,77.5086754",8863,5269,3594
Adilabad ,28,ANDHRA PRADESH,83955,46295,37660,982,947,80.51,88.18,72.73,"19.0809075,79.560344",10565,6797,3768
Adityapur ,20,JHARKHAND,125985,71470,54515,902,910,83.46,89.98,76.23,"22.7834741,86.1576889",19225,12189,7036
Adoni ,28,ANDHRA PRADESH,101292,56203,45089,1013,968,68.38,76.58,60.33,"15.6322227,77.2728368",11902,7871,4031
Agartala ,16,TRIPURA,343633,174524,169109,1002,940,93.88,95.75,92.02,"23.831457,91.2867777",52711,30215,22496
Agra ,9,UTTAR PRADESH,880530,503805,376725,853,772,63.44,67.67,58.54,"27.1766701,78.0080745",185813,106082,79731
Ahmadabad ,24,GUJARAT,4464303,2459823,2004480,897,853,89.62,93.96,84.81,"23.022505,72.5713621",769858,435267,334591
Ahmadnagar ,27,MAHARASHTRA,287468,152819,134649,952,859,91.49,95.51,87.33,"19.0952075,74.7495916",51661,29832,21829
Aizawl ,15,MIZORAM,253588,125256,128332,1029,989,98.8,99.3,98.31,"23.727107,92.7176389",26832,14900,11932
Ajmer ,8,RAJASTHAN,422913,230586,192327,946,884,87.53,93.26,81.53,"26.4498954,74.6399163",77989,42454,35535
Akbarpur ,9,UTTAR PRADESH,75062,42208,32854,939,937,76.94,83.89,69.54,"26.4407468,82.5537514",9745,5811,3934
Akola ,27,MAHARASHTRA,347687,183594,164093,958,899,91.34,94.78,87.77,"20.7059345,77.0219019",49715,28812,20903
Alandur ,33,TAMIL NADU,142415,72755,69660,997,975,95.15,97.2,93.1,"12.9974873,80.2006371",45971,25463,20508
Alappuzha ,32,KERALA,153269,74454,78815,1076,945,96.56,98.03,95.21,"9.4980667,76.3388484",22263,9900,12363
Aligarh ,9,UTTAR PRADESH,533969,303886,230083,884,875,70.36,75.5,64.55,"27.8973944,78.0880129",99341,55965,43376
Allahabad ,9,UTTAR PRADESH,877590,493181,384409,858,876,86.5,90.21,82.17,"25.4358011,81.846311",233129,138248,94881
Alwar ,8,RAJASTHAN,243634,138737,104897,889,833,86.78,93.72,79.05,"27.5529907,76.6345735",58764,35297,23467
Ambala ,6,HARYANA,155780,85004,70776,895,834,88.23,91.58,84.51,"30.3781788,76.7766974",34943,17809,17134
Ambala Sadar ,6,HARYANA,83236,43444,39792,922,841,87.97,88.66,87.22,"30.3248708,76.8432663",20618,10689,9929
Ambarnath ,27,MAHARASHTRA,201707,111273,90434,910,906,89.04,93.82,83.78,"19.1825167,73.1926023",26596,14444,12152
Ambattur ,33,TAMIL NADU,401253,208748,192505,982,960,92.69,95.71,89.62,"13.1143167,80.1480551",97186,52224,44962
Ambikapur ,22,CHHATTISGARH,89590,48950,40640,920,887,88.2,92.73,83.29,"23.1354921,83.1817856",20857,12369,8488
Ambur ,33,TAMIL NADU,88309,45439,42870,1031,955,86.83,91.18,82.65,"12.7903613,78.7166084",7813,5076,2737
Amravati ,27,MAHARASHTRA,543568,284490,259078,957,910,93.03,95.52,90.44,"20.9374238,77.7795513",91996,51456,40540
Amreli ,24,GUJARAT,85975,46721,39254,921,835,89.47,93.85,84.75,"21.6031774,71.2220832",11305,6579,4726
