name_of_city,state_code,state_name,dist_code,population_total,population_male,population_female,0-6_population_total,0-6_population_male,0-6_population_female
Abohar ,3,PUNJAB,9,145238,76840,68398,15870,8587,7283
Achalpur ,27,MAHARASHTRA,7,112293,58256,54037,11810,6186,5624
Adilabad ,28,ANDHRA PRADESH,1,117388,59232,58156,13103,6731,6372
Adityapur ,20,JHARKHAND,24,173988,91495,82493,23042,12063,10979
Adoni ,28,ANDHRA PRADESH,21,166537,82743,83794,18406,9355,9051
Agartala ,16,TRIPURA,1,399688,199616,200072,33635,17341,16294
Agra ,9,UTTAR PRADESH,15,1574542,849771,724771,186516,105279,81237
Ahmadabad ,24,GUJARAT,7,5570585,2935869,2634716,589076,317917,271159
Ahmadnagar ,27,MAHARASHTRA,26,350905,179755,171150,36712,19748,16964
Aizawl ,15,MIZORAM,3,291822,143803,148019,35147,17667,17480
Ajmer ,8,RAJASTHAN,21,542580,278786,263794,59437,31547,27890
Akbarpur ,9,UTTAR PRADESH,47,111594,57560,54034,14037,7247,6790
Akola ,27,MAHARASHTRA,5,427146,218184,208962,46500,24488,22012
Alandur ,33,TAMIL NADU,3,164162,82190,81972,14486,7336,7150
Alappuzha ,32,KERALA,11,174164,83888,90276,15434,7934,7500
Aligarh ,9,UTTAR PRADESH,12,872575,463123,409452,113658,60620,53038
Allahabad ,9,UTTAR PRADESH,44,1117094,601363,515731,102556,54660,47896
Alwar ,8,RAJASTHAN,6,315310,166900,148410,34576,18862,15714
Ambala ,6,HARYANA,2,196216,103533,92683,19645,10713,8932
Ambala Sadar ,6,HARYANA,2,104268,54241,50027,9646,5239,4407
Ambarnath ,27,MAHARASHTRA,21,254003,133006,120997,27465,14406,13059
Ambattur ,33,TAMIL NADU,1,478134,241181,236953,45216,23065,22151
Ambikapur ,22,CHHATTISGARH,2,114575,59673,54902,12995,6887,6108
Ambur ,33,TAMIL NADU,4,113856,56052,57804,12150,6216,5934
Amravati ,27,MAHARASHTRA,7,646801,330544,316257,62497,32713,29784
Amreli ,24,GUJARAT,13,105980,55166,50814,9885,5386,4499
Amritsar ,3,PUNJAB,15,1132761,602754,530007,109540,60056,49484
Amroha ,9,UTTAR PRADESH,6,197135,102804,94331,26855,13799,13056
Anand ,24,GUJARAT,15,197351,102359,94992,19993,10631,9362
Anantapur ,28,ANDHRA PRADESH,22,262340,131506,130834,23630,12409,11221
Anantnag ,1,JAMMU & KASHMIR,14,108505,56030,52475,18056,9633,8423
Arrah ,10,BIHAR,29,261099,139319,121780,34419,18356,16063
Asansol ,19,WEST BENGAL,9,564491,293748,270743,56014,29363,26651
Ashoknagar Kalyangarh ,19,WEST BENGAL,11,123906,62554,61352,8885,4564,4321
Aurangabad ,10,BIHAR,33,101520,53307,48213,14292,7548,6744
Aurangabad ,27,MAHARASHTRA,19,1171330,610377,560953,151827,81671,70156
Avadi ,33,TAMIL NADU,1,344701,175055,169646,33414,17005,16409
Azamgarh ,9,UTTAR PRADESH,60,110980,58033,52947,12629,6790,5839
Badlapur ,27,MAHARASHTRA,21,175516,91695,83821,17194,9096,8098
Bagaha ,10,BIHAR,1,113012,59946,53066,19070,9802,9268
Bagalkot ,29,KARNATAKA,2,112068,56837,55231,12399,6476,5923
Bahadurgarh ,6,HARYANA,15,170426,91736,78690,20374,11420,8954
Baharampur ,19,WEST BENGAL,7,195363,100431,94932,13228,6741,6487
Bahraich ,9,UTTAR PRADESH,49,186241,98529,87712,22828,12046,10782
Baidyabati ,19,WEST BENGAL,12,121081,62550,58531,8154,4164,3990
Baleshwar Town ,21,ORISSA,8,118202,60308,57894,11115,5685,5430
Ballia ,9,UTTAR PRADESH,62,104271,55706,48565,10798,5780,5018
Bally ,19,WEST BENGAL,15,291972,156734,135238,31859,14583,17276
Bally City,19,WEST BENGAL,15,115715,59951,55764,9584,4879,4705
Balurghat ,19,WEST BENGAL,5,151183,75677,75506,9391,4757,4634
Banda ,9,UTTAR PRADESH,39,154388,82215,72173,17697,9351,8346
Bankura ,19,WEST BENGAL,13,138036,70734,67302,10760,5502,5258
Bansberia ,19,WEST BENGAL,12,103799,53807,49992,8721,4518,4203
Banswara ,8,RAJASTHAN,27,100128,51240,48888,12244,6602,5642
Baran ,8,RAJASTHAN,30,118157,61360,56797,14845,7842,7003
Baranagar ,19,WEST BENGAL,11,248466,128432,120034,15016,7712,7304
Barasat ,19,WEST BENGAL,11,283443,143732,139711,21468,10932,10536
Baraut ,9,UTTAR PRADESH,8,102733,54521,48212,13536,7387,6149
Barddhaman ,19,WEST BENGAL,9,314638,160631,154007,22104,11394,10710
Bareilly ,9,UTTAR PRADESH,19,898167,477438,420729,94915,50224,44691
Baripada Town ,21,ORISSA,7,110058,57008,53050,9933,5228,4705
Barnala ,3,PUNJAB,20,116454,62302,54152,12984,7096,5888
Barrackpur ,19,WEST BENGAL,11,154475,79507,74968,10671,5553,5118
Barshi ,27,MAHARASHTRA,30,118573,60857,57716,13029,7060,5969
Basirhat ,19,WEST BENGAL,11,127135,64397,62738,10719,5504,5215
Basti ,9,UTTAR PRADESH,54,114651,60126,54525,12568,6541,6027
Batala ,3,PUNJAB,1,156400,82459,73941,14698,8028,6670
Bathinda ,3,PUNJAB,12,285813,151782,134031,30713,16472,14241
Beawar ,8,RAJASTHAN,21,145809,74946,70863,17709,9419,8290
Begusarai ,10,BIHAR,20,251136,133931,117205,37966,20012,17954
Belgaum ,29,KARNATAKA,1,488292,246407,241885,49848,25749,24099
Bellary ,29,KARNATAKA,11,409644,206026,203618,49587,25337,24250
Bengaluru,29,KARNATAKA,18,8425970,4401299,4024671,862493,444639,417854
Bettiah ,10,BIHAR,1,132896,70381,62515,18203,9685,8518
Betul ,23,MADHYA PRADESH,30,103341,52902,50439,11005,5772,5233
Bhadrak ,21,ORISSA,9,107369,55094,52275,12251,6285,5966
Bhadravati ,29,KARNATAKA,14,150776,75020,75756,14000,7087,6913
Bhadreswar ,19,WEST BENGAL,12,101334,53318,48016,8981,4674,4307
Bhagalpur ,10,BIHAR,22,398138,212005,186133,53775,28061,25714
Bhalswa Jahangir Pur ,7,NCT OF DELHI,1,197150,106271,90879,27653,14678,12975
Bharatpur ,8,RAJASTHAN,7,252109,134088,118021,31538,17245,14293
Bharuch ,24,GUJARAT,21,168729,86887,81842,16106,8406,7700
Bhatpara ,19,WEST BENGAL,11,390467,207876,182591,32498,16879,15619
Bhavnagar ,24,GUJARAT,14,593768,309447,284321,62089,33775,28314
Bhilai Nagar ,22,CHHATTISGARH,10,625697,322254,303443,67131,35011,32120
Bhilwara ,8,RAJASTHAN,24,360009,187952,172057,45832,24215,21617
Bhimavaram ,28,ANDHRA PRADESH,15,142280,70066,72214,12157,6149,6008
Bhind ,23,MADHYA PRADESH,3,197332,105394,91938,24486,13319,11167
Bhiwadi ,8,RAJASTHAN,6,104883,59757,45126,16884,9080,7804
Bhiwandi ,27,MAHARASHTRA,21,711329,418478,292851,88613,45820,42793
Bhiwani ,6,HARYANA,13,197662,105372,92290,22507,12444,10063
Bhopal ,23,MADHYA PRADESH,27,1795648,939560,856088,206967,107945,99022
Bhubaneswar Town ,21,ORISSA,17,837737,445233,392504,75237,39567,35670
Bhuj ,24,GUJARAT,1,147123,77900,69223,15894,8365,7529
Bhusawal ,27,MAHARASHTRA,3,187750,96655,91095,19440,10496,8944
